horizon,model,group_kind,group,n,n_positive,base_rate,n_firms,pr_auc,roc_auc,pr_auc_cluster_ci_low,pr_auc_cluster_ci_high,status
1,xgboost,SIC-2,7,80,0,0.0,7,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,9,14,0,0.0,2,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,10,221,0,0.0,22,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,12,84,0,0.0,7,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,13,784,1,0.0012755102040816326,87,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,14,133,0,0.0,14,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,15,37,0,0.0,4,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,16,176,2,0.011363636363636364,18,,,,,"too few (2 test positives, need 20)"
1,xgboost,SIC-2,17,142,0,0.0,15,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,20,997,1,0.0010030090270812437,99,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,21,82,0,0.0,9,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,22,85,0,0.0,8,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,23,219,0,0.0,21,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,24,149,1,0.006711409395973154,13,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,25,199,0,0.0,18,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,26,216,0,0.0,20,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,27,128,0,0.0,11,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,28,4357,10,0.0022951572182694515,516,,,,,"too few (10 test positives, need 20)"
1,xgboost,SIC-2,29,175,1,0.005714285714285714,16,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,30,229,0,0.0,23,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,31,108,0,0.0,9,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,32,104,0,0.0,11,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,33,384,0,0.0,33,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,34,609,1,0.0016420361247947454,55,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,35,1738,3,0.0017261219792865361,163,,,,,"too few (3 test positives, need 20)"
1,xgboost,SIC-2,36,2600,2,0.0007692307692307692,256,,,,,"too few (2 test positives, need 20)"
1,xgboost,SIC-2,37,1050,5,0.004761904761904762,112,,,,,"too few (5 test positives, need 20)"
1,xgboost,SIC-2,38,2963,5,0.0016874789065136687,302,,,,,"too few (5 test positives, need 20)"
1,xgboost,SIC-2,39,340,1,0.0029411764705882353,33,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,40,30,0,0.0,3,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,42,161,1,0.006211180124223602,16,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,44,120,0,0.0,10,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,45,221,1,0.004524886877828055,23,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,46,20,0,0.0,3,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,47,234,0,0.0,24,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,48,815,1,0.001226993865030675,80,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,49,1343,0,0.0,128,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,50,659,0,0.0,64,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,51,444,0,0.0,44,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,52,128,0,0.0,11,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,53,159,1,0.006289308176100629,14,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,54,127,0,0.0,12,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,55,300,1,0.0033333333333333335,29,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,56,309,1,0.003236245954692557,27,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,57,115,1,0.008695652173913044,14,,,,,"too few (1 test positives, need 20)"
1,xgboost,SIC-2,58,575,0,0.0,60,,,,,"too few (0 test positives, need 20)"
